name,lat,lng
KOKKARNE,13.459773,74.838099
KOKKARNE,13.459773,74.838099
KOLALGIRI,13.382845,74.777183
KOLALGIRI,13.382845,74.777183
KOLLUR,13.877174,74.818405
KOLLUR,13.877174,74.818405
KONDADI,13.325706,74.872705
KONDADI,13.325706,74.872705
KONI,13.613624,74.711197
KORANGARAPADY,13.304409,74.744158
KOTA,13.530261,74.704769
KOTA ,13.530261,74.704769
KOTA ,13.530261,74.704769
KOTA ,13.530261,74.704769
KOTA ,13.530261,74.704769
KOTA BUS STAND,13.525387,74.705538
KOTA HIGH SCHOOL,13.528343,74.704937
KOTESHWARA,13.593932,74.695935
KOTESHWARA,13.593932,74.695935
KOTESHWARA,13.593932,74.695935
KOTESHWARA,13.593932,74.695935
KUDLU FALLS,13.413174,75.120932
KUKKEHALLI,13.392537,74.852483
KUKKIKATTE,13.321914,74.770311
KUKKIKATTE,13.321914,74.770311
KUKKUDAKATTE,13.347035,74.810835
KUMBASHI,13.569087,74.698926
KUNDAPUR,13.623777,74.691611
KUNDAPUR,13.623777,74.691611
KUNDAPUR,13.623777,74.691611
KUNDAPUR,13.623777,74.691611
KUNDAPUR,13.623777,74.691611
KUNDAPUR,13.623777,74.691611
KUNDAPUR,13.623777,74.691611
KUNDAPUR,13.623777,74.691611
KUNDAPUR,13.623777,74.691611
KUNDAPUR,13.623777,74.691611
KUNDAPUR,13.623777,74.691611
KUNDAPUR,13.623777,74.691611
KUNDAPUR,13.623777,74.691611
KUNDAPUR,13.623777,74.691611
KUNDAPUR,13.623777,74.691611
KUNDAPUR,13.623777,74.691611
KUNDAPUR,13.623777,74.691611
KUNDAPUR,13.623777,74.691611
KUNDAPUR,13.623777,74.691611
KUNDAPUR,13.623777,74.691611
KUNDAPUR,13.623777,74.691611
KUNDAPUR,13.623777,74.691611
KUNDAPUR,13.623777,74.691611
KUNDAPUR,13.623777,74.691611
KUNDAPUR,13.623777,74.691611
KUNDAPUR,13.623777,74.691611
KUNDAPUR,13.623777,74.691611
KUNDAPUR,13.623777,74.691611
KUNDAPUR,13.623777,74.691611
KUNDAPURA,13.623777,74.691611
KUNDAPURA,13.623777,74.691611
KUNJAL,13.43344,74.74441
KUNJIBETTU,13.345825,74.764878
KUNJIBETTU,13.345825,74.764878
KUNJIBETTU,13.345825,74.764878
KUNJIBETTU,13.345825,74.764878
KUNJIBETTU,13.345825,74.764878
KUNJIBETTU,13.345825,74.764878
KURKAL,13.221193,74.99205
LAXMINAGAR,13.371921,74.726396
LAXMINAGAR,13.371921,74.726396
LAXMINDRA NAGAR,13.348318,74.776794
LAXMINDRA NAGAR,13.348318,74.776794
LAXMINAGAR,13.371921,74.726396
LAXMINAGAR,13.371921,74.726396
MADAGA,13.351554,74.839717
MANIPAL ,13.368497,74.784726
MADHUVANA,13.34373,74.746643
MADHUVANA,13.34373,74.746643
MADHUVANA,13.34373,74.746643
MALPE,13.34736,74.73359
MALPE,13.34736,74.73359
MALPE,13.34736,74.73359
MALPE,13.34736,74.73359
MALPE,13.34736,74.73359
MALPE,13.34736,74.73359
MALPE,13.34736,74.73359
MALPE,13.34736,74.73359
MALPE,13.34736,74.73359
MALPE,13.34736,74.73359
MALPE,13.34736,74.73359
MALPE,13.34736,74.73359
MALPE,13.34736,74.73359
MALPE,13.34736,74.73359
MALPE,13.34736,74.73359
MALPE,13.34736,74.73359
MALPE ,13.34736,74.73359
MANCHAKAL,13.34373,74.74664
MANDARTHI,13.34373,74.74664
MANDARTHI,13.34373,74.74664
MANDARTHI,13.34373,74.74664
MANDARTHI,13.34373,74.74664
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
